model_name,accuracy,f1_score,precision,recall,roc_auc,type
LDA,0.6200,0.6180,0.6210,0.6200,0.6650,Classical
Random Forest,0.6850,0.6820,0.6880,0.6850,0.7420,Classical
MLP,0.6710,0.6690,0.6730,0.6710,0.7280,Classical
SVM,0.6590,0.6560,0.6610,0.6590,0.7110,Classical
EEGNet,0.7020,0.6990,0.7050,0.7020,0.7680,Deep
ShallowConvNet,0.7340,0.7310,0.7370,0.7340,0.8020,Deep
DeepConvNet,0.7180,0.7150,0.7200,0.7180,0.7850,Deep
BiLSTM,0.7090,0.7060,0.7110,0.7090,0.7730,Deep
CNN-Transformer,0.7260,0.7230,0.7290,0.7260,0.7940,Deep
Ensemble (Top-3),0.7510,0.7480,0.7530,0.7510,0.8210,Ensemble
